comic_no,vw_0,vw_1,vw_2,vw_3,vw_4,vw_5,vw_6,vw_7,vw_8,vw_9,vw_10,vw_11,vw_12,vw_13,vw_14,vw_15,vw_16,vw_17,vw_18,vw_19,vw_20,vw_21,vw_22,vw_23,vw_24,vw_25,vw_26,vw_27,vw_28,vw_29,vw_30,vw_31,vw_32,vw_33,vw_34,vw_35,vw_36,vw_37,vw_38,vw_39,vw_40,vw_41,vw_42,vw_43,vw_44,vw_45,vw_46,vw_47,vw_48,vw_49,vw_50,vw_51,vw_52,vw_53,vw_54,vw_55,vw_56,vw_57,vw_58,vw_59,vw_60,vw_61,vw_62,vw_63
843,0,0,0,0,0,0.3493133422359485,0.3246448514087745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12044981046292928,0,0.3819724062201281,0,0,0,0,0.37128000537030187,0,0,0,0,0,0,0,0,0,0,0,0.22208075973828934,0,0,0,0,0,0.3782816741938944,0,0,0,0,0.34208489355106037,0,0,0,0,0,0,0.34796020291321716,0,0.20931011672560215,0,0,0
844,0,0,0,0,0,0,0,0,0.6943473225457754,0,0,0,0,0,0,0,0,0,0,0,0,0.255487044290461,0,0,0,0,0,0,0,0,0,0,0,0,0.48032617023592,0,0,0,0,0,0.47105725348383165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,0,0,0,0,0,0.5069796320512838,0,0,0,0.4543462306754656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3934773379295317,0,0,0,0,0,0,0,0,0,0.45365634743179906,0,0,0.4194194300778989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846,0.39171337961849195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13047792291991137,0,0,0,0,0,0,0.4021911179123029,0,0,0,0.3460345015825339,0,0,0,0,0,0,0,0,0,0,0,0,0.4068698259231487,0.4097757143642551,0,0.30671426077343733,0,0,0,0,0,0,0,0.3471393656070703,0,0,0,0,0,0,0
847,0,0,0,0,0,0.36501354906298067,0,0,0.3420643509197888,0,0,0,0,0,0,0,0,0,0,0,0,0.2517270741484581,0,0,0,0,0,0,0,0,0,0,0,0,0.23662863572244303,0,0,0,0,0,0.46412476415470744,0,0,0.29586723077855775,0,0,0,0,0.29586723077855775,0,0,0.35746021115781573,0,0,0,0,0.33486269121427187,0,0,0,0,0,0,0
848,0.43666663041286996,0,0,0,0,0,0,0,0,0.3780281181126661,0,0,0,0,0,0,0,0,0,0,0,0.14545164375084363,0,0,0,0,0,0,0,0,0,0.32738358444472204,0,0,0.27345508337375446,0,0,0,0,0,0.26817818496536294,0,0,0,0.348968093377861,0.4535624391374377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2527567325711123,0,0,0
849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11807933968215961,0,0,0,0,0,0,0.3639731578058951,0,0,0.26577380961215236,0,0,0,0,0,0.3708370327110152,0,0,0.2177101762570246,0,0,0,0,0,0.3708370327110152,0,0.2775689294614178,0,0,0,0,0,0,0,0.3141526639240472,0,0.3411122926449787,0,0.4103817229228671,0,0,0
850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14975221020131316,0,0.4748966548600984,0.5021780496789872,0,0,0,0,0,0,0,0.3971509528834355,0,0,0,0,0,0,0,0.27610740511900705,0,0,0,0,0,0,0,0.35202229942974456,0,0,0,0,0,0,0.37680335896796613,0,0,0,0,0,0,0,0
851,0.34209136330690765,0,0,0,0,0,0.30712356286632075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11394905779475434,0,0,0.7642320007057385,0,0,0,0,0,0,0,0,0,0,0,0.27518155050156756,0,0,0,0.21009492027643872,0,0,0,0,0,0,0,0.2678598819265409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,0,0,0,0,0,0,0.2660801661637978,0,0,0,0,0,0,0,0,0,0,0.3064083673129785,0,0,0.3138397917890786,0.09872112692777466,0,0,0,0,0,0,0,0,0,0,0.5236275254486827,0,0,0,0,0.3100411119703671,0,0,0,0,0,0.23206360731967463,0.23685207366313812,0,0,0,0,0,0,0,0,0,0,0.49680004291732627,0,0,0,0,0,0,0,0
