comic_id,vw_0,vw_1,vw_2,vw_3,vw_4,vw_5,vw_6,vw_7,vw_8,vw_9,vw_10,vw_11,vw_12,vw_13,vw_14,vw_15,vw_16,vw_17,vw_18,vw_19,vw_20,vw_21,vw_22,vw_23,vw_24,vw_25,vw_26,vw_27,vw_28,vw_29,vw_30,vw_31,vw_32,vw_33,vw_34,vw_35,vw_36,vw_37,vw_38,vw_39,vw_40,vw_41,vw_42,vw_43,vw_44,vw_45,vw_46,vw_47,vw_48,vw_49,vw_50,vw_51,vw_52,vw_53,vw_54,vw_55,vw_56,vw_57,vw_58,vw_59,vw_60,vw_61,vw_62,vw_63,vw_64,vw_65,vw_66,vw_67,vw_68,vw_69,vw_70,vw_71,vw_72,vw_73,vw_74,vw_75,vw_76,vw_77,vw_78,vw_79,vw_80,vw_81,vw_82,vw_83,vw_84,vw_85,vw_86,vw_87,vw_88,vw_89,vw_90,vw_91,vw_92,vw_93,vw_94,vw_95,vw_96,vw_97,vw_98,vw_99,vw_100,vw_101,vw_102,vw_103,vw_104,vw_105,vw_106,vw_107,vw_108,vw_109,vw_110,vw_111,vw_112,vw_113,vw_114,vw_115,vw_116,vw_117,vw_118,vw_119,vw_120,vw_121,vw_122,vw_123,vw_124,vw_125,vw_126,vw_127
0,0.0075155956903597,0.0042574932024068,0.0,0.0144768090937477,0.0044915354353289,0.0079094497729561,0.0,0.0,0.0083797217554842,0.0,0.0,0.003044183591996,0.0079918981377218,0.0,0.0033864520387448,0.0068389880463776,0.0,0.0181473087317205,0.0,0.0,0.0180745633242089,0.0,0.0047987180055521,0.0,0.0068145226719148,0.0054806691094346,0.0,0.0,0.0,0.0058275169684633,0.0,0.0053703548112668,0.0,0.0,0.0,0.0,0.0068154668372078,0.0052249616115153,0.0,0.0082365267870587,0.0166323858050438,0.0,0.0094978304603111,0.0028900544991705,0.0,0.0645063419679795,0.0,0.0023480828986989,0.003491291273325,0.0197378833090706,0.0118641746594341,0.0,0.0,0.0,0.0015781628936684,0.0029666403979828,0.0085812516643994,0.0,0.0030246955228359,0.0,0.0025051985634532,0.0065859360221104,0.0037291890051506,0.0132311838609409,0.0,0.009921224093628,0.0,0.0,0.0146393063329182,0.0020466520464865,0.0052745696836181,0.0038860921793037,0.0,0.0174551338612375,0.0130077029161239,0.0,0.0331279517687957,0.0,0.0161353113745859,0.0,0.0206701961769045,0.0122616433416819,0.003044183591996,0.0207101313847571,0.0032632158093841,0.0029666403979828,0.0031030636719628,0.0168286041269135,0.0,0.0,0.0,0.0028335047538996,0.0029859244031749,0.0111841916789051,0.011726625441511,0.0,0.0,0.0132159595314065,0.0033657208253827,0.0,0.0,0.0524195672139202,0.0023826133978435,0.0,0.0,0.0059253046872445,0.0028901705006797,0.006127481291231,0.0,0.0,0.0,0.0,0.0,0.0144768090937477,0.0,0.0044103946203136,0.0084489192479437,0.0,0.0058565462948297,0.0032429410641412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096078402783637
1,0.0047110747011432,0.0,0.0,0.0181492810110361,0.0,0.0241700458646308,0.0,0.0,0.0019697787503151,0.0,0.0,0.0071558081837828,0.0009393075083945,0.0,0.0,0.0,0.0,0.0234618777174387,0.0,0.0278765724588092,0.0396544965052341,0.0,0.0,0.1320313054556352,0.0,0.0025766262566432,0.0,0.0,0.0,0.0821906938668982,0.0,0.0050495284199444,0.0,0.0,0.0,0.0,0.0032041545390509,0.0049128210477105,0.0046599130036063,0.0154889490748845,0.0156387627569502,0.0,0.0,0.0006793504731816,0.0020384365608817,0.0069983903473752,0.0,0.0,0.0131308825033106,0.0023198421291829,0.0,0.0048776558741129,0.0,0.001612156344646,0.0007419415162441,0.0027894125300514,0.0,0.0,0.0028439994266665,0.0,0.0,0.0020641634978389,0.0,0.0476895397515991,0.0,0.0023321318973333,0.0,0.0,0.0458825012339082,0.0,0.0644730517691086,0.0,0.0,0.0082061798152831,0.0,0.0,0.0591828707183836,0.0,0.0,0.0,0.0043189673974253,0.0011529129583607,0.0042934849102697,0.0019472902756576,0.0015341352246714,0.0,0.0,0.0,0.0356159673423225,0.0,0.0,0.0053284608878528,0.0,0.0039435169361334,0.0055130368958792,0.0,0.0625550510278011,0.0031066086690708,0.0,0.0,0.0,0.0739320129796329,0.0,0.0,0.0,0.0055713254461883,0.0013587554821377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082938330002781,0.0009930223271933,0.0,0.0,0.003049206922647,0.0,0.0,0.0,0.0,0.0045120413454802,0.001449583008989,0.0,0.0
2,0.0,0.0,0.0,0.0028731386468951,0.0,0.0211916014476077,0.0,0.0,0.0024946211147083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378168423735032,0.0,0.0117680706103525,0.0286973329972089,0.0,0.0,0.1091988240610517,0.0,0.0032631615421304,0.0,0.0,0.0,0.086741823297028,0.0,0.0047962214844044,0.0,0.0,0.0,0.0,0.0,0.0139991158966422,0.0,0.0220679311449321,0.016504724949084,0.0,0.0,0.0025810848569894,0.0,0.0,0.0,0.0013980361995542,0.0145508751424433,0.0235036636772485,0.0,0.0,0.0,0.0,0.0,0.0035326441581243,0.0,0.0010300057214021,0.0054026633845392,0.0,0.0,0.0039212316447433,0.0044406790127123,0.0341370346763091,0.0,0.0059070446083772,0.0,0.0,0.0813508821219622,0.0,0.0533876674884635,0.0,0.0,0.0103926948318552,0.0,0.0,0.0394484162510001,0.0,0.0,0.0,0.0013674362236914,0.0,0.0054374726659666,0.0,0.0038858030361744,0.0,0.0,0.0,0.0173483646594056,0.0,0.0,0.0016870538172889,0.0,0.0016647522153633,0.0069819710687944,0.0,0.0429122848676185,0.0098358909341471,0.0,0.0,0.0,0.0416137792356121,0.0,0.0,0.0,0.0529184283745688,0.006883169218724,0.0,0.0,0.0,0.0,0.0,0.0,0.0028731386468951,0.0075809994397496,0.0052518514886629,0.0,0.0,0.0,0.0077233201659152,0.0,0.0,0.0083318502686344,0.0,0.0,0.005507461761126,0.0,0.0
3,0.0056680117498129,0.0019265156740891,0.0020070414536053,0.0021835853716402,0.0050810494612158,0.0,0.0145657809652342,0.0066701504028309,0.0018959120471783,0.0,0.0186722588615698,0.0013774930753782,0.0018081669536595,0.0195914249935915,0.001532369547532,0.0041261894546478,0.006705767128294,0.0,0.0022832560780764,0.0,0.0,0.0034203259762305,0.0021714198975123,0.0,0.0107925002816452,0.0,0.0,0.0035709926339033,0.004250030046645,0.0,0.0,0.0,0.0130445992990043,0.0011256023431359,0.0193155724747316,0.0070421156682505,0.0,0.0011821475646053,0.0014950554219903,0.0,0.0,0.0091478278903045,0.0,0.0019616244913119,0.0078479807593948,0.0,0.0155438895142617,0.0095625676049513,0.0,0.0,0.0053685390333939,0.0093894875576673,0.0238507847856939,0.0038792512043045,0.0085694245126198,0.0026848095601744,0.0,0.0054796304378592,0.0027373494481665,0.0073831201893769,0.0056680117498129,0.0,0.005062374074492,0.0019957035656919,0.0098523165390611,0.0037411282519722,0.0074400083160575,0.0071134692457021,0.0,0.0120394306634572,0.0,0.0017584567111349,0.0211052019677762,0.0,0.0019619951898487,0.0085349917762046,0.0,0.0,0.0,0.0036700039728423,0.0020785030600109,0.0011096787224222,0.0,0.0,0.0014766051537463,0.0053696191203489,0.008424817869379,0.0030459773469713,0.0,0.0,0.0,0.0012821609011395,0.01621356950924,0.0012652116836761,0.0,0.0447561881370225,0.0,0.0,0.013706898061371,0.0035169134222698,0.0108570994875617,0.0,0.0086250605001935,0.0207775028076924,0.0486630142074855,0.0,0.0,0.006931713210705,0.0,0.0,0.0,0.0022859993697656,0.0039533090273831,0.0,0.0,0.0019957035656919,0.0019115679798472,0.0,0.0066252179960261,0.0014674308315239,0.0,0.0,0.0,0.0,0.0,0.0,0.0062384211870817,0.0072459128765993
4,0.0241645641998296,0.0120784681761072,0.0025166663995052,0.0109521523342459,0.0050969775159531,0.0022439034622336,0.0020293669056404,0.0041819124782639,0.0047546383628296,0.0,0.0042569983155474,0.0069090561774455,0.0090691759431201,0.0,0.0019214665172815,0.0051739052722856,0.0014014142378879,0.0102967488415091,0.0028630170258011,0.0,0.0068369821560748,0.0,0.0,0.0162600129871472,0.0019332736733802,0.0031097213442246,0.0050198253218179,0.0044777337102235,0.0066614891013245,0.0099195665011773,0.0,0.0045706938283979,0.0,0.012702722367678,0.00186308873641,0.0,0.0,0.0044469500862897,0.0018746776451289,0.0093467796141544,0.0125829125630634,0.0,0.0,0.0073791516914557,0.0098407282249464,0.0,0.007087552927563,0.0106583825621192,0.0039619042035851,0.0,0.0022439034622336,0.0029434130274819,0.0066459867044775,0.0136199415323545,0.0080590199178242,0.0050497985457827,0.0036517395405712,0.0019631457009795,0.0120134458540225,0.0,0.0014214449529311,0.0062280795193416,0.0042318696547478,0.0100097984486115,0.0,0.0018764279633716,0.0015548606721123,0.0012742443789882,0.0110750865047364,0.0069675991300452,0.0029927809176641,0.0,0.0,0.0066026734145956,0.0073805461687098,0.0071347893635984,0.0037593475047975,0.0037593475047975,0.0,0.0046018858593634,0.0039094101442212,0.0055657866955346,0.0120908483105297,0.0,0.0055546275376036,0.0050497985457827,0.0088033624549415,0.007638814663251,0.0,0.0,0.0,0.0128618021430931,0.0,0.0190376679675408,0.0022178884063881,0.0,0.0,0.0018746776451289,0.0,0.0,0.0,0.0049571273070635,0.0027037807210637,0.0,0.0,0.0033620067347688,0.0049196319180849,0.0069534427192025,0.0,0.0,0.0,0.0047774281499803,0.0049571273070635,0.0,0.0,0.0,0.0023969504449495,0.0,0.0066459867044775,0.0036800773204361,0.0,0.0,0.0,0.0036347696720404,0.0027227835705483,0.013995973879894,0.0,0.0036343136685137
5,0.0015528799314556,0.0013195312836226,0.0027493718542539,0.0,0.0097444784187701,0.0,0.0221701384554555,0.0091371923326451,0.0,0.0,0.0,0.0075479072623463,0.0012384705162051,0.0,0.0041982727329645,0.0028261571607176,0.0214339588575607,0.0,0.0062554961043189,0.008167793300336,0.0,0.0,0.0,0.0,0.0042240705603308,0.0033972640712591,0.0,0.021197673169289,0.0218323461300259,0.0,0.0,0.0016644421589714,0.0025527591583178,0.0123353681439552,0.0020353606401192,0.0,0.0,0.0064775209019471,0.0,0.0076582774749536,0.0,0.0,0.0,0.0071657515664365,0.0,0.0030757765796112,0.0154858176978946,0.0189213666460224,0.0,0.0,0.0,0.0,0.005445384654268,0.0053140427456226,0.0009782448073766,0.0091945532882688,0.0013298001295002,0.0139403514074696,0.0093744844115293,0.0115587008835647,0.0,0.0013607927168972,0.0300506223599985,0.0054676810018956,0.0,0.0020499332887519,0.0101917922137774,0.0069603417276929,0.0,0.0038059317165829,0.0,0.0048176896195477,0.0,0.0,0.0026876646436283,0.0064954275313581,0.0,0.0,0.0,0.0,0.007118161164421,0.0060804313557381,0.0,0.0,0.0222502146454923,0.0036778213153075,0.0057704231982048,0.0041725717081799,0.0,0.0,0.0,0.0017563847960816,0.0074034563969132,0.0173316668996732,0.0,0.0022707350652979,0.0,0.0,0.0041725717081799,0.0,0.0,0.0,0.001476893921266,0.0,0.0071423210676348,0.0,0.0,0.0189909950978221,0.0,0.0,0.0,0.0041753413146404,0.0,0.0,0.0157850947238622,0.0,0.0,0.0,0.0036302564361786,0.0080407168850624,0.0,0.0040609891565009,0.0,0.0,0.0,0.0038225305374025,0.0,0.0079407264401088
6,0.009531791531217,0.0046282658836975,0.0,0.0052458507426793,0.0,0.0128973910712167,0.0,0.0,0.0,0.0,0.0,0.0115825243575344,0.0010859861583541,0.0,0.0,0.0024781918646533,0.0,0.0271255943579997,0.0013713249718176,0.014324298160349,0.0818692683103558,0.0,0.002608312189204,0.0654209171176571,0.0018519949003252,0.010426438080561,0.0,0.0,0.0,0.0633501844619736,0.0045198085452413,0.0116760867368084,0.0,0.0013520748866497,0.0,0.0,0.0,0.0099399795222071,0.0,0.0067153664344938,0.0210943271421326,0.0,0.0,0.0007854352317565,0.0,0.0107883094444022,0.0,0.0,0.020874357132703,0.0107283990358611,0.0,0.0028196659332334,0.0,0.0,0.0008578002515134,0.0080624911716951,0.0034982129532799,0.0018806110468843,0.0032881074452451,0.0,0.0,0.0107392290090268,0.0,0.0311641397645585,0.0,0.0017975391000467,0.0,0.0,0.0212189345045701,0.0,0.022935666372009,0.0,0.0,0.0079063544266366,0.0023567509787972,0.0011391380415354,0.0252090780126511,0.0,0.0,0.0029389421203942,0.0037450505585782,0.0013329474143209,0.0099278780207438,0.0,0.0035473997687598,0.0,0.0,0.0,0.009502527669296,0.0,0.0,0.0138611989312388,0.0,0.0075988689710279,0.0127478630925735,0.0,0.0452021295902842,0.0179586236875719,0.0,0.0,0.0,0.0379897564192975,0.0,0.0,0.0,0.0257652888502405,0.0047128005461534,0.0,0.0,0.0,0.0,0.0009153150629692,0.0,0.0,0.0,0.0143834491221039,0.0034442666303554,0.0,0.0015916439630092,0.0052880390325185,0.0,0.0035609874885833,0.0,0.0,0.0,0.003351888639404,0.0,0.0
7,0.0,0.0007256179563424,0.0,0.0,0.0,0.0013480324000989,0.0,0.0,0.0,0.0,0.0,0.0020753191342797,0.0,0.0,0.0,0.0,0.0,0.0170109659533218,0.0,0.1459743096425404,0.0061610093440335,0.0,0.0,0.0468876306702821,0.0,0.0,0.0,0.0,0.0,0.0139048286234331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035620265600161,0.0,0.0140377716427273,0.0037796130956847,0.0045940127509376,0.0,0.0,0.0,0.0,0.0,0.0,0.0059503175185671,0.0,0.0,0.0,0.0,0.0,0.0,0.0030336831188412,0.0,0.0,0.0,0.0,0.0,0.0,0.0038134644628942,0.0030067097034906,0.0,0.0,0.0,0.0,0.0199601841526041,0.0,0.0161813069955064,0.0,0.0,0.0,0.0,0.0,0.0135506424184226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011123202664755,0.0,0.0,0.0011472607709873,0.0079456163562475,0.0,0.0,0.0,0.0,0.0009530784811119,0.0,0.0,0.0037796130956847,0.0,0.0,0.0,0.0,0.0268020951009027,0.0,0.0,0.0,0.0020197366259722,0.0039406467843542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7465071538712424,0.0,0.0,0.0,0.0,0.002210818578567,0.0,0.0,0.7727438079655549,0.0,0.0,0.0,0.0,0.0
8,0.0352187137852456,0.0205744392378447,0.0,0.1907987217938109,0.0,0.0069495650917721,0.0,0.0,0.0220882956952813,0.0,0.0,0.0026747438356858,0.0087775094837843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158810483576787,0.0,0.0,0.0251793404995143,0.0,0.002407769681572,0.0,0.0,0.0020631213818665,0.0358420582477816,0.0146125849084017,0.0,0.0036184741467418,0.0,0.0,0.0045580036687705,0.0179650412262322,0.0,0.0087090607106234,0.0036184741467418,0.0,0.0,0.0,0.0012696598649268,0.0076193987955289,0.0130795159404827,0.0,0.0,0.0,0.0043356272802691,0.0,0.0182320146750823,0.0025729001926314,0.0120520425764801,0.0013866382706504,0.0,0.0037699188137289,0.0015200084432341,0.0,0.0,0.0,0.0038577812945048,0.0,0.0271260678831911,0.0,0.0014528653405717,0.0,0.0,0.0128626914866902,0.0,0.0231722600178368,0.0,0.0,0.0,0.0038096993977644,0.0,0.011643027709033,0.0,0.0212657137776702,0.0,0.0121077848155978,0.0021547159658683,0.0,0.0145574127403536,0.0,0.0,0.0,0.0147862978008318,0.0051202940353973,0.0,0.0,0.0149377969064807,0.0,0.0147403302952561,0.0,0.0,0.009742594921401,0.0,0.0,0.0,0.0,0.0230289846255329,0.0,0.0044827406273338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012719914786254,0.0,0.0038751525547415,0.0,0.0,0.0025729001926314,0.0,0.0,0.0,0.0,0.0112571992755426,0.0084326986311159,0.0,0.0,0.0
9,0.002361671562422,0.0,0.1128960817653036,0.0,0.0021171039421732,0.0,0.0033717085567671,0.0034740366681411,0.0,0.0140860108472492,0.0,0.0,0.0,0.0204077343683244,0.0159621827867922,0.0,0.0046567827279819,0.0,0.0023783917479962,0.0,0.0,0.0285027164685879,0.0,0.0,0.0,0.0,0.0,0.0024798559957661,0.0022135573159609,0.0,0.0,0.0,0.0077646424398835,0.0,0.003095444306848,0.0,0.0,0.0024628074262611,0.0,0.0,0.0,0.0317632912857798,0.0,0.0013622392300777,0.0245249398731087,0.0,0.0058878369372203,0.0066406719478828,0.0,0.0,0.0,0.0,0.013802537491721,0.0,0.0,0.0,0.0,0.00163084239222,0.0,0.019776214792974,0.0,0.0,0.0070310751034611,0.0,0.0547350918836729,0.0,0.0,0.0021171039421732,0.0,0.0057881878189698,0.0,0.0036634514815311,0.0565317909851148,0.0,0.0,0.0039513850815762,0.0,0.0687059916371586,0.0,0.0152916832201764,0.0,0.0,0.0,0.0,0.0,0.011186706500727,0.0,0.0,0.0,0.0158709926388814,0.0158709926388814,0.0053423370880816,0.0,0.0,0.0,0.0207204574708437,0.0,0.0,0.0412476099069037,0.0036634514815311,0.0226189572657536,0.0,0.0022461095052587,0.0,0.0,0.0,0.0,0.0202174968645565,0.017220305682547,0.0350107777050756,0.0317419852777628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013802537491721,0.0,0.0,0.0061760876755117,0.0,0.0,0.0,0.0,0.0194950662096305,0.0
