comic_no,Book Title,Vol,Issue,Year,Month,genre,link,our_idx,img_folderpath,_old_comic_no
144,Hit Comics - Kid Eternity - Mr.Puny,,,1950,Jul,detective|crime|teen|humor|animal,https://digitalcomicmuseum.com/index.php?dlid=21688,144,,3595
145,Hit Comics - Kid Eternity - battle of steeplechase,,,1949,jan,superhero|humor|adventure|teen,https://digitalcomicmuseum.com/index.php?dlid=14699,145,,3596
146,Hit Comics - Kid eternity - tales of Invisible,,,1952,Aug,crime|detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=19561,146,,3597
147,Hit Comics - hercules - Thunder on the seas,,,1940,Sep,superhero|spy|adventure,https://digitalcomicmuseum.com/index.php?dlid=1029,147,,3598
148,Holyoke One-Shot - Superhero,,,1944,,superhero|non fiction|adventure,https://digitalcomicmuseum.com/index.php?dlid=18258,148,,3599
149,"Humdinger - Speck, Spot and Sis",,,1946,Aug,children|humor|adventure,https://digitalcomicmuseum.com/index.php?dlid=22597,149,,3600
150,Jesse james - great Train Robbery,,,1954,Aug,western|adventure,https://digitalcomicmuseum.com/index.php?dlid=17727,158,,3609
151,Jumbo Comics - Sheena - Stuart Taylor in Weird Stories of the Supernatural,,,1939,Oct,jungle|scifi|humor|adventure|mystery|female,https://digitalcomicmuseum.com/index.php?dlid=8538,159,,3610
152,Jumbo Comics - Sheena - Pantheras of kajoo kazar,,,1950,Aug,jungle|animal|adventure|female,https://digitalcomicmuseum.com/index.php?dlid=10747,160,,3611
153,Jumbo Comics - Sheena - Killers of Crypt,,,1951,Mar,jungle|animal|female,https://digitalcomicmuseum.com/index.php?dlid=10347,161,,3612
154,Jumbo Comics - Sheena - The Ghosts of Blow-gun Trails,,,1952,Jan,jungle|historical|fantasy|animal|female,https://digitalcomicmuseum.com/index.php?dlid=10346,162,,3613
155,Jumbo Comics - Sheena - Banshee Wail of the Undead,,,1947,Mar,jungle|animal|female,https://digitalcomicmuseum.com/index.php?dlid=10165,163,,3614
156,Kaanga - ing of the Jungle,,,1948,,jungle|adventure,https://www.coverbrowser.com/covers/jungle-comics/3#i106,164,,3615
157,Kaanga - Banshee Valley,,,1948,Nov,jungle|animal|non fiction,https://digitalcomicmuseum.com/index.php?dlid=10572,165,,3616
158,Kaanga - Cavern of the Golden Bones,,,1949,Jan,animal|jungle|adventure,https://digitalcomicmuseum.com/index.php?dlid=10609,166,,3617
159,Kaanga - Colossus of the Congo,,,1946,Sep,jungle|animal|non fiction,https://digitalcomicmuseum.com/index.php?dlid=10869,167,,0
160,Kaanga - Witch Queen of the Hairy Ones,,,1947,Sep,jungle|animal|adventure,https://digitalcomicmuseum.com/index.php?dlid=9549,168,,3619
161,kaanga - Vendetta of the Free Tribes,,,1947,Aug,jungle|animal|adventure,https://digitalcomicmuseum.com/index.php?dlid=8683,169,,3620
162,JoJo - The Mountain of Skulls,,,1947,Nov,jungle|adventure,https://digitalcomicmuseum.com/index.php?dlid=19113,170,,3621
163,JoJo - The Copy-Mad Killers,,,1949,Jun,jungle|adventure,https://digitalcomicmuseum.com/index.php?dlid=20951,171,,3622
164,Jumbo Comics - Sheena - Tigerman terror,,,1941,Apr,jungle|adventure|female|scifi|children,https://digitalcomicmuseum.com/index.php?dlid=13568,172,,3623
165,Jumbo Comics: Sheena and The Captive Tigress,35,12,1940,Nov,jungle|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=22341,173,,3624
166,Jumbo Comics: Sheena and Cannibal Fury,35,17,1940,Jul,jungle|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=17742,174,,3625
167,Jumbo Comics: Sheena and Satan's Safari,,18,1940,Aug,jungle|spy|western|female,https://digitalcomicmuseum.com/index.php?dlid=17749,175,,3626
168,Jumbo Comics: Sheena and Spoilers of the Wild,35,20,1940,Oct,jungle|spy|western|scifi|detective|female,https://digitalcomicmuseum.com/index.php?dlid=17828,176,,3627
169,Jumbo Comics: Sheena and Prey of the Giant Vultures,35,21,1940,Nov,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=20983,177,,3628
170,Jumbo Comics: Sheena and Bait For the Beast,36,25,1941,Mar,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=17186,178,,3629
171,Jumbo Comics: Sheena and Saber-Tooth Terror,,27,1941,May,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=14735,179,,3630
172,Jumbo Comics: Sheena and Land of Giant Men,34,11,1939,Dec,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=485,180,,3631
173,Jumbo Comics: Sheena and Congo Terror,37,37,1942,Mar,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=16354,181,,3632
174,Jumbo Comics: Sheena and Fanged Keeper of the Fire-Gem,,45,1942,Nov,jungle|spy|western|female,https://digitalcomicmuseum.com/index.php?dlid=13911,182,,3633
175,Jumbo Comics: Sheena and Lair of armored Monsters,,46,1942,Dec,jungle|female,https://digitalcomicmuseum.com/index.php?dlid=9274,183,,3634
176,Jumbo Comics: Sheena and The Arena of Doom,38,57,1943,Nov,jungle|spy|western|female,Jumbo Comics 057 (rescan) -upgrade,184,,3635
177,Jumbo Comics: Sheena and The Dwarf-Makers,39,63,1944,May,jungle|spy|western|female,https://digitalcomicmuseum.com/index.php?dlid=13978,185,,3636
178,Jumbo Comics: Sheena and Red Tusks of Zulu-Zaan,1,83,1946,Mar,jungle|female,https://digitalcomicmuseum.com/index.php?dlid=24415,186,,3637
179,Jumbo Comics: Sheena and Kill-Quest of the Ju-Ju Tusks,1,88,1946,Jun,jungle|adventure|aviation|horror|female,https://digitalcomicmuseum.com/index.php?dlid=16334,187,,3638
